sta lat lon HLE HLN HLZ dist az Max3 MaxH MaxZ MaxS
B121 23.8945 120.459 9.986150 8.713010 4.332640 134.303 302.758 9.986150 9.986150 4.332640 13.943153
B122 23.8118 120.618 4.293250 4.784570 4.515930 115.723 303.217 4.784570 4.784570 4.515930 7.856063
B123 24.0161 120.552 7.380800 12.885600 5.730350 134.544 309.769 12.885600 12.885600 5.730350 15.917029
B135 24.3331 120.653 3.488260 3.669490 1.803740 152.6 322.528 3.669490 3.669490 1.803740 5.374625
B136 24.2583 120.659 10.875900 8.082570 7.423640 145.787 320.699 10.875900 10.875900 7.423640 15.450682
B138 23.9205 120.603 7.714960 9.190040 3.432770 123.896 307.513 9.190040 9.190040 3.432770 12.480439
B139 23.9209 120.548 12.310700 8.923790 5.570440 128.385 306.033 12.310700 12.310700 5.570440 16.193121
B141 23.8321 120.471 5.797730 5.574050 4.246060 129.65 300.471 5.797730 5.797730 4.246060 9.094654
B143 23.8798 120.763 14.353500 7.914630 6.133620 108.33 310.833 14.353500 14.353500 6.133620 17.501018
B145 23.9788 120.344 12.242600 8.818720 4.840660 149.151 303.394 12.242600 12.242600 4.840660 15.845601
B146 24.1609 120.491 21.383800 14.221800 7.475670 149.694 313.028 21.383800 21.383800 7.475670 26.747189
B162 23.8763 120.521 6.702710 5.592920 3.578130 127.881 303.513 6.702710 6.702710 3.578130 9.434516
B170 24.1548 120.72 8.966060 5.299170 7.343210 133.025 319.607 8.966060 8.966060 7.343210 12.743397
B171 24.345 120.588 5.190470 6.208690 1.676290 157.778 320.915 6.208690 6.208690 1.676290 8.264306
B172 24.144 120.682 8.738560 9.788300 5.130560 134.684 318.037 9.788300 9.788300 5.130560 14.088857
B173 24.1113 120.656 6.654930 7.286720 3.403890 133.823 316.17 7.286720 7.286720 3.403890 10.438910
B174 24.2269 120.805 7.909510 14.007300 6.730190 133.923 324.663 14.007300 14.007300 6.730190 17.437324
B175 24.9538 121.204 1.230220 0.957254 0.700689 193.137 349.036 1.230220 1.230220 0.700689 1.709018
B177 24.6561 120.955 1.846590 2.767180 1.354500 168.569 338.392 2.767180 2.767180 1.354500 3.591915
B178 24.0277 120.412 13.288000 12.474400 5.743230 146.53 306.644 13.288000 13.288000 5.743230 19.109325
B179 24.034 120.504 14.278000 13.719600 14.521200 139.553 309.134 14.521200 14.278000 14.521200 24.555121
B180 23.9926 120.546 9.765700 11.184200 8.810300 133.366 308.746 11.184200 11.184200 8.810300 17.264895
B181 23.9535 120.546 2.167650 12.124400 8.518720 130.743 307.249 12.124400 12.124400 8.518720 14.975593
B182 23.8923 120.527 5.097150 7.854330 5.857740 128.331 304.329 7.854330 7.854330 5.857740 11.044662
B183 23.8759 120.416 4.858220 4.820420 9.205210 136.931 301.056 9.205210 4.858220 9.205210 11.470599
B184 23.7492 120.753 4.986530 4.024250 3.077020 100.447 304.14 4.986530 4.986530 3.077020 7.108314
C001 23.7046 120.249 6.091360 5.335660 5.452390 144.142 291.066 6.091360 6.091360 5.452390 9.762299
C002 23.7168 120.42 3.924450 5.579940 5.000840 128.504 294.365 5.579940 5.579940 5.000840 8.458454
C005 23.61 120.422 6.055450 5.825210 2.066760 124.027 289.395 6.055450 6.055450 2.066760 8.652921
C006 23.5796 120.56 11.269000 9.193020 8.497890 109.58 290.129 11.269000 11.269000 8.497890 16.843875
C008 23.4836 120.278 10.915100 13.688700 4.862790 134.617 281.704 13.688700 13.688700 4.862790 18.170488
C012 23.3304 120.16 9.408960 13.110000 5.683640 144.402 274.151 13.110000 13.110000 5.683640 17.108606
C015 23.3526 120.414 9.580320 23.809300 9.969370 118.7 276.134 23.809300 23.809300 9.969370 27.532774
C016 23.2191 120.162 11.629600 12.379100 2.888580 143.915 269.255 12.379100 12.379100 2.888580 17.228860
C017 23.2137 120.277 17.723200 16.062200 3.473020 132.179 268.879 17.723200 17.723200 3.473020 24.169567
C021 23.0791 120.296 10.355000 16.854900 7.019810 131.536 262.351 16.854900 16.854900 7.019810 20.990269
C022 23.0441 120.47 18.243500 23.086900 7.075340 114.605 259.173 23.086900 23.086900 7.075340 30.263686
C023 22.9648 120.289 16.255800 13.060500 1.770530 134.589 257.052 16.255800 16.255800 1.770530 20.927553
C024 23.7553 120.616 2.857070 9.234420 4.508410 112.652 300.473 9.234420 9.234420 4.508410 10.665980
C025 23.7774 120.523 7.728680 8.543220 8.688210 122.092 299.245 8.688210 8.543220 8.688210 14.429279
C026 23.7966 120.419 3.932120 6.503990 3.454760 132.387 297.852 6.503990 6.503990 3.454760 8.348582
C027 23.751 120.254 4.453700 4.516440 5.607010 145.533 293.035 5.607010 4.516440 5.607010 8.465946
C032 23.577 120.302 6.675660 7.253260 3.809930 134.627 286.231 7.253260 7.253260 3.809930 10.568339
C035 23.5186 120.592 9.283220 12.687300 5.264060 104.405 287.237 12.687300 12.687300 5.264060 16.578784
